id,created_at,updated_at,deleted_at,createdBy,updatedBy,deletedBy,menu_level,parent_id,path,name,hidden,component,sort,active_name,keep_alive,default_menu,title,icon,close_tab
1,2023-05-24 01:11:41.396,2023-08-08 20:41:28.380,,,,,0,3,dashboard,dashboard,0,view/dashboard/index.vue,21,,0,0,工作台,odometer,0
2,2023-05-24 01:11:41.396,2023-10-22 21:14:34.802,,,,,0,3,about,about,0,view/about/index.vue,19,,0,0,关于我们,info-filled,0
3,2023-05-24 01:11:41.396,2024-01-08 20:33:48.077,,,,,0,0,admin,superAdmin,0,view/superAdmin/index.vue,1,,0,0,系统管理,tools,0
4,2023-05-24 01:11:41.396,2023-06-25 11:58:30.982,,,,,0,3,role,role,0,view/superAdmin/role/role.vue,1,,0,0,角色管理,avatar,0
5,2023-05-24 01:11:41.396,2023-06-25 11:58:52.469,,,,,0,3,menu,menu,0,view/superAdmin/menu/menu.vue,3,,1,0,菜单管理,tickets,0
6,2023-05-24 01:11:41.396,2023-06-25 11:58:58.268,,,,,0,3,api,api,0,view/superAdmin/api/api.vue,4,,1,0,api管理,platform,0
7,2023-05-24 01:11:41.396,2023-06-25 11:58:38.380,,,,,0,3,user,user,0,view/superAdmin/user/user.vue,2,,0,0,用户管理,coordinate,0
8,2023-05-24 01:11:41.396,2023-05-24 01:11:41.396,,,,,0,3,dictionary,dictionary,0,view/superAdmin/dictionary/dictionary.vue,5,,0,0,字典管理,notebook,0
9,2023-05-24 01:11:41.396,2023-06-25 11:59:21.974,,,,,0,3,dictionaryDetail/:id,dictionaryDetail,1,view/superAdmin/dictionary/dictionaryDetail.vue,6,dictionary,0,0,字典详情-${id},list,0
10,2023-05-24 01:11:41.396,2023-06-25 11:59:30.901,,,,,0,3,operation,operation,0,view/superAdmin/operation/record.vue,7,,0,0,操作历史,pie-chart,0
11,2023-05-24 01:11:41.396,2023-10-22 22:47:43.820,,,,,0,3,person,person,1,view/person/person.vue,8,,0,0,个人信息,message,0
19,2023-05-24 01:11:41.396,2023-06-25 11:58:18.596,,,,,0,3,system,system,0,view/systemTools/system/system.vue,0,,0,0,系统配置,operation,0
55,2023-08-19 11:03:10.053,2023-08-19 11:08:05.733,,,,,0,3,show,show,0,view/superAdmin/show/show.vue,12,,1,0,显示设置,aim,0
82,2023-12-31 00:37:48.745,2023-12-31 00:37:48.745,0000-00-00 00:00:00.000,0,0,0,0,3,state,state,0,view/system/state.vue,23,,1,0,系统状态,cloudy,1
